gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
3070743349	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/71988439	Plantae	Tracheophyta	Magnoliopsida	Ericales	Sarraceniaceae	Darlingtonia	Darlingtonia californica		SPECIES	Darlingtonia californica Torr.	Darlingtonia californica		US		California	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	40.022891	-120.867716	28000.0						2021-03-24T13:27:31	24	3	2021	5939805	5939805	HUMAN_OBSERVATION	iNaturalist	Observations	71988439		Andrea Dingeldein	2021-03-25T00:57:15	CC_BY_NC_4_0	Andrea Dingeldein	Andrea Dingeldein			2021-04-11T11:11:53.067Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_NONE;COLLECTION_MATCH_NONE
3070587746	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/33090558	Plantae	Tracheophyta	Magnoliopsida	Ericales	Sarraceniaceae	Darlingtonia	Darlingtonia californica		SPECIES	Darlingtonia californica Torr.	Darlingtonia californica		US		California	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	41.252259	-122.573365	27816.0						2019-09-20T12:56:04	20	9	2019	5939805	5939805	HUMAN_OBSERVATION	iNaturalist	Observations	33090558		Joey Santore	2019-09-20T20:17:18	CC_BY_NC_4_0	Joey Santore	Joey Santore			2021-04-11T11:41:33.731Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_NONE;COLLECTION_MATCH_NONE
3070582095	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/49780310	Plantae	Tracheophyta	Magnoliopsida	Ericales	Sarraceniaceae	Darlingtonia	Darlingtonia californica		SPECIES	Darlingtonia californica Torr.	Darlingtonia californica		US		California	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	41.309052	-122.667431	27816.0						2020-06-13T00:00:00	13	6	2020	5939805	5939805	HUMAN_OBSERVATION	iNaturalist	Observations	49780310		Philip Georgakakos	2020-06-15T23:17:20	CC_BY_NC_4_0	Philip Georgakakos	Philip Georgakakos			2021-04-11T11:44:21.633Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_NONE;COLLECTION_MATCH_NONE
3070564441	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/12953568	Plantae	Tracheophyta	Magnoliopsida	Ericales	Sarraceniaceae	Darlingtonia	Darlingtonia californica		SPECIES	Darlingtonia californica Torr.	Darlingtonia californica		US		California	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	41.007604	-122.618965	27847.0						2018-05-27T14:59:48	27	5	2018	5939805	5939805	HUMAN_OBSERVATION	iNaturalist	Observations	12953568		Joey Santore	2018-05-30T14:52:25	CC_BY_NC_4_0	Joey Santore	Joey Santore			2021-04-11T10:58:16.299Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_NONE;COLLECTION_MATCH_NONE
3070529011	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/49780307	Plantae	Tracheophyta	Magnoliopsida	Ericales	Sarraceniaceae	Darlingtonia	Darlingtonia californica		SPECIES	Darlingtonia californica Torr.	Darlingtonia californica		US		California	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	41.365023	-122.627861	27816.0						2020-06-13T00:00:00	13	6	2020	5939805	5939805	HUMAN_OBSERVATION	iNaturalist	Observations	49780307		Philip Georgakakos	2020-06-15T23:17:19	CC_BY_NC_4_0	Philip Georgakakos	Philip Georgakakos			2021-04-11T11:06:36.530Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_NONE;COLLECTION_MATCH_NONE
3070493110	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/53194205	Plantae	Tracheophyta	Magnoliopsida	Ericales	Sarraceniaceae	Darlingtonia	Darlingtonia californica		SPECIES	Darlingtonia californica Torr.	Darlingtonia californica		US		California	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	41.325005	-122.700895	27816.0						2020-07-13T08:33:00	13	7	2020	5939805	5939805	HUMAN_OBSERVATION	iNaturalist	Observations	53194205		Garth Harwood	2020-07-15T20:58:13	CC_BY_4_0	Garth Harwood	Garth Harwood			2021-04-11T11:43:53.281Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_NONE;COLLECTION_MATCH_NONE
3070493088	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/52121567	Plantae	Tracheophyta	Magnoliopsida	Ericales	Sarraceniaceae	Darlingtonia	Darlingtonia californica		SPECIES	Darlingtonia californica Torr.	Darlingtonia californica		US		California	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	41.592563	-122.507672	27785.0						2020-07-05T17:39:41	5	7	2020	5939805	5939805	HUMAN_OBSERVATION	iNaturalist	Observations	52121567		Joey Santore	2020-07-06T06:44:25	CC_BY_NC_4_0	Joey Santore	Joey Santore			2021-04-11T11:43:41.423Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_NONE;COLLECTION_MATCH_NONE
3070492713	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/28982813	Plantae	Tracheophyta	Magnoliopsida	Ericales	Sarraceniaceae	Darlingtonia	Darlingtonia californica		SPECIES	Darlingtonia californica Torr.	Darlingtonia californica		US		California	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	41.210824	-122.766424	27816.0						2019-07-16T15:22:29	16	7	2019	5939805	5939805	HUMAN_OBSERVATION	iNaturalist	Observations	28982813		Charlie Russell	2019-07-17T04:33:25	CC_BY_NC_4_0	Charlie Russell	Charlie Russell			2021-04-11T11:37:59.170Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_NONE;COLLECTION_MATCH_NONE
3070487121	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/57515018	Plantae	Tracheophyta	Magnoliopsida	Ericales	Sarraceniaceae	Darlingtonia	Darlingtonia californica		SPECIES	Darlingtonia californica Torr.	Darlingtonia californica		US		California	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	41.275612	-122.77977	27816.0						2020-08-15T00:00:00	15	8	2020	5939805	5939805	HUMAN_OBSERVATION	iNaturalist	Observations	57515018		Philip Georgakakos	2020-08-25T04:27:31	CC_BY_NC_4_0	Philip Georgakakos	Philip Georgakakos			2021-04-11T11:37:59.030Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_NONE;COLLECTION_MATCH_NONE
3070470007	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/49780364	Plantae	Tracheophyta	Magnoliopsida	Ericales	Sarraceniaceae	Darlingtonia	Darlingtonia californica		SPECIES	Darlingtonia californica Torr.	Darlingtonia californica		US		California	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	41.206094	-122.783337	27816.0						2020-06-12T00:00:00	12	6	2020	5939805	5939805	HUMAN_OBSERVATION	iNaturalist	Observations	49780364		Philip Georgakakos	2020-06-15T23:17:37	CC_BY_NC_4_0	Philip Georgakakos	Philip Georgakakos			2021-04-11T11:31:22.406Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_NONE;COLLECTION_MATCH_NONE
